,u,i,ts,label,idx
0,6,2,1289241911.72836,0,1
1,6,5,1289241941.53378,0,2
2,1,15,1289243140.39049,0,3
3,4,3,1289245277.36975,0,4
4,13,16,1289254254.44746,0,5
5,13,10,1289254300.79514,0,6
6,7,5,1289362700.47913,0,7
7,2,21,1289370556.80938,0,8
8,2,20,1289370622.21473,0,9
9,21,2,1289380981.52787,0,10
10,21,1,1289441411.46365,0,11
11,21,10,1289441438.4426,0,12
12,21,8,1289441450.59006,0,13
13,21,3,1289441525.7383099,0,14
14,17,3,1289442313.0371099,0,15
15,17,23,1289489668.48486,0,16
16,10,1,1289555656.32898,0,17
17,10,6,1289555731.2221699,0,18
18,10,21,1289555745.64663,0,19
19,10,8,1289555767.7095,0,20
20,10,25,1289555841.66508,0,21
21,10,2,1289555871.04233,0,22
22,10,3,1289555875.7095802,0,23
23,4,26,1289641693.99029,0,24
24,26,4,1289641703.57785,0,25
25,5,1,1289660298.87048,0,26
26,5,6,1289660319.00982,0,27
27,5,7,1289660347.43795,0,28
28,1,5,1289710643.19963,0,29
29,6,4,1289770700.4293,0,30
30,4,6,1289770756.50297,0,31
31,2,4,1289771303.53929,0,32
32,17,28,1289836081.5209901,0,33
33,17,13,1289873367.89538,0,34
34,13,17,1289873611.94452,0,35
35,13,29,1290088212.27332,0,36
36,29,13,1290090118.30882,0,37
37,17,20,1290108486.6886802,0,38
38,4,31,1290197549.13082,0,39
39,31,4,1290197554.48422,0,40
40,32,6,1290300441.66925,0,41
41,13,1,1290520563.53596,0,42
42,7,34,1290644457.56157,0,43
43,34,7,1290644477.4021301,0,44
44,32,1,1290666928.4216301,0,45
45,1,32,1290666953.43175,0,46
46,1,34,1290750434.01249,0,47
47,34,1,1290752776.47886,0,48
48,34,13,1290758643.30207,0,49
49,13,34,1290761556.7369,0,50
50,6,7,1290826367.1721098,0,51
51,7,6,1290826591.42034,0,52
52,1,17,1290969236.78019,0,53
53,1,31,1291052764.71454,0,54
54,31,1,1291055972.91439,0,55
55,35,6,1291056174.72596,0,56
56,1,13,1291090930.69481,0,57
57,36,37,1291157823.29216,0,58
58,37,36,1291159845.12556,0,59
59,35,1,1291159911.11891,0,60
60,17,1,1291217882.28299,0,61
61,8,1,1291315232.33698,0,62
62,7,29,1291376109.62385,0,63
63,1,20,1291505266.30993,0,64
64,37,44,1291515528.23159,0,65
65,44,37,1291515697.49227,0,66
66,39,45,1291578872.19781,0,67
67,39,7,1291590274.45619,0,68
68,39,44,1291591178.2595901,0,69
69,44,39,1291591211.84395,0,70
70,23,17,1291623781.1277199,0,71
71,23,19,1291623787.90955,0,72
72,36,46,1291684579.71178,0,73
73,46,36,1291684612.11599,0,74
74,47,1,1291740270.9472802,0,75
75,13,7,1291757016.29721,0,76
76,7,13,1291757031.50303,0,77
77,29,51,1292070534.03952,0,78
78,51,29,1292071378.89261,0,79
79,29,52,1292085236.6998599,0,80
80,52,29,1292085280.0736,0,81
81,45,39,1292099160.9751,0,82
82,45,53,1292189306.47485,0,83
83,53,45,1292189412.5311,0,84
84,45,54,1292193828.31273,0,85
85,54,45,1292195062.40986,0,86
86,1,54,1292196392.21474,0,87
87,54,1,1292196407.13906,0,88
88,7,3,1292200462.1576,0,89
89,36,41,1292206237.08404,0,90
90,41,36,1292206272.45044,0,91
91,36,21,1292297572.7643301,0,92
92,21,36,1292297608.09604,0,93
93,7,36,1292361185.86524,0,94
94,36,7,1292361298.90511,0,95
95,7,53,1292442401.75654,0,96
96,53,7,1292442432.7118402,0,97
97,7,55,1292447857.2063198,0,98
98,55,7,1292490376.2363698,0,99
99,29,7,1292716197.4261901,0,100
100,4,57,1292795818.34165,0,101
101,39,21,1292819158.2383401,0,102
102,21,39,1292819328.7332199,0,103
103,4,61,1292823618.44624,0,104
104,61,4,1292823672.32603,0,105
105,61,20,1292823684.25402,0,106
106,61,2,1292823727.667,0,107
107,35,65,1292920838.8724802,0,108
108,65,35,1292935948.10307,0,109
109,56,1,1292957157.4040802,0,110
110,1,56,1292957195.7147,0,111
111,4,66,1293050723.00352,0,112
112,66,4,1293054742.65514,0,113
113,21,7,1293191604.74618,0,114
114,7,20,1293409870.9621801,0,115
115,35,69,1293448472.81444,0,116
116,35,70,1293448479.2438,0,117
117,39,69,1293453341.91475,0,118
118,69,39,1293453456.20721,0,119
119,69,35,1293453463.2234,0,120
120,1,71,1293481238.1530302,0,121
121,71,1,1293481551.9652698,0,122
122,7,28,1293481688.78585,0,123
123,28,7,1293482234.62328,0,124
124,4,72,1293523499.48644,0,125
125,1,74,1293579274.0100698,0,126
126,74,1,1293579280.83393,0,127
127,41,75,1293583961.4875,0,128
128,68,64,1293603105.36008,0,129
129,76,7,1293604543.59049,0,130
130,7,76,1293604590.1113,0,131
131,7,19,1293632316.6935802,0,132
132,32,23,1293643257.6064901,0,133
133,23,32,1293646340.181,0,134
134,23,20,1293661055.82282,0,135
135,61,77,1293665840.7407,0,136
136,1,78,1293749573.8343198,0,137
137,78,1,1293749669.2168698,0,138
138,60,41,1293819840.4094698,0,139
139,41,60,1293820339.69123,0,140
140,78,60,1293831460.95955,0,141
141,60,78,1293831479.76095,0,142
142,57,4,1293843254.06475,0,143
143,23,69,1293888120.91641,0,144
144,69,23,1293888137.47196,0,145
145,64,68,1293930357.98644,0,146
146,35,79,1293994479.85825,0,147
147,79,35,1293996991.46985,0,148
148,41,4,1294081163.014,0,149
149,4,41,1294081177.89816,0,150
150,1,68,1294083688.36895,0,151
151,68,1,1294083725.97495,0,152
152,69,28,1294126590.415,0,153
153,28,69,1294152392.91925,0,154
154,64,80,1294190542.60702,0,155
155,17,81,1294192094.04763,0,156
156,81,17,1294192614.67232,0,157
157,69,62,1294244410.4263,0,158
158,62,69,1294249080.61302,0,159
159,41,83,1294262869.27706,0,160
160,41,104,1294267264.6407099,0,161
161,83,41,1294267277.04065,0,162
162,41,86,1294271217.57214,0,163
163,86,41,1294274023.32141,0,164
164,104,41,1294285068.74772,0,165
165,4,87,1294300030.22996,0,166
166,87,4,1294300186.31404,0,167
167,81,69,1294395970.3296,0,168
168,69,81,1294396076.49534,0,169
169,41,89,1294426072.9756901,0,170
170,89,41,1294429629.84466,0,171
171,60,87,1294429932.3273199,0,172
172,87,60,1294429999.7841198,0,173
173,7,89,1294438542.46541,0,174
174,89,7,1294439193.8408198,0,175
175,64,94,1294546375.2423902,0,176
176,41,70,1294595719.20179,0,177
177,94,64,1294599138.54006,0,178
178,70,95,1294600321.90078,0,179
179,95,70,1294600354.23511,0,180
180,70,41,1294600355.2483099,0,181
181,70,35,1294600362.03195,0,182
182,39,17,1294689381.25255,0,183
183,17,39,1294689438.3949099,0,184
184,70,96,1294788721.90836,0,185
