,u,i,ts,label,idx
0,3,30,1095171960.0,1,1
1,25,30,1095173580.0,-1,2
2,4,30,1095174480.0,1,3
3,5,30,1095176220.0,1,4
4,6,30,1095182880.0,1,5
5,7,30,1095183420.0,1,6
6,8,30,1095188640.0,1,7
7,9,30,1095190200.0,1,8
8,10,30,1095192780.0,1,9
9,11,30,1095215280.0,1,10
10,12,30,1095224160.0,1,11
11,13,30,1095232740.0,1,12
12,14,30,1095243600.0,1,13
13,15,30,1095339000.0,1,14
14,16,30,1095341460.0,1,15
15,17,30,1095421740.0,1,16
16,18,30,1095447420.0,1,17
17,19,30,1095451860.0,1,18
18,20,30,1095458520.0,1,19
19,21,30,1095462360.0,1,20
20,22,30,1095651360.0,1,21
21,23,30,1095683280.0,1,22
22,24,30,1095711600.0,1,23
23,28,54,1095161940.0,1,24
24,33,54,1095162060.0,1,25
25,34,54,1095165600.0,1,26
26,5,54,1095166800.0,1,27
27,20,54,1095169380.0,1,28
28,36,54,1095170520.0,1,29
29,3,54,1095172680.0,1,30
30,25,54,1095173400.0,1,31
31,35,54,1095173580.0,1,32
32,6,54,1095182880.0,1,33
33,37,54,1095182940.0,1,34
34,7,54,1095183600.0,1,35
35,38,54,1095184740.0,1,36
36,8,54,1095188640.0,1,37
37,39,54,1095189300.0,1,38
38,40,54,1095189600.0,1,39
39,9,54,1095190200.0,1,40
40,10,54,1095192780.0,1,41
41,26,54,1095192900.0,1,42
42,41,54,1095199140.0,1,43
43,11,54,1095215280.0,1,44
44,42,54,1095215640.0,1,45
45,14,54,1095243540.0,1,46
46,43,54,1095282660.0,1,47
47,44,54,1095283080.0,1,48
48,45,54,1095283980.0,1,49
49,46,54,1095286740.0,1,50
50,47,54,1095323280.0,1,51
51,48,54,1095323940.0,1,52
52,15,54,1095339060.0,1,53
53,17,54,1095364740.0,1,54
54,49,54,1095377820.0,1,55
55,50,54,1095410820.0,1,56
56,19,54,1095451920.0,1,57
57,51,54,1095454380.0,1,58
58,21,54,1095462420.0,1,59
59,52,54,1095466200.0,1,60
60,53,54,1095688560.0,1,61
61,24,54,1095711660.0,1,62
62,29,54,1095720900.0,1,63
63,28,61,1094949960.0,1,64
64,55,61,1094950020.0,1,65
65,21,61,1094951700.0,1,66
66,9,61,1094953800.0,1,67
67,5,61,1094954940.0,1,68
68,11,61,1094962860.0,1,69
69,8,61,1094996820.0,1,70
70,6,61,1095000300.0,1,71
71,56,61,1095019020.0,1,72
72,19,61,1095029460.0,1,73
73,20,61,1095031380.0,1,74
74,57,61,1095032580.0,1,75
75,14,61,1095063720.0,1,76
76,58,61,1095118920.0,1,77
77,50,61,1095122640.0,1,78
78,7,61,1095183720.0,1,79
79,15,61,1095339180.0,1,80
80,59,61,1095362400.0,1,81
81,60,61,1095475800.0,1,82
82,47,61,1095491880.0,1,83
83,62,6,1094874600.0,1,84
84,27,6,1094875980.0,1,85
85,11,6,1094878200.0,1,86
86,34,6,1094897460.0,1,87
87,10,6,1094902200.0,1,88
